"nama_bank","sandi_bank"
"BANK BCA",014
"BANK MANDIRI",008
"BANK BNI",009
"BANK BRI",002
"BANK SYARIAH INDONESIA (BSI)",451
"BANK CIMB NIAGA",022
"BANK CIMB NIAGA SYARIAH",022
"BANK MUAMALAT",147
"BANK BTPN",213
"JENIUS",213
"BANK BTPN SYARIAH",547
"BANK DANAMON",011
"BANK PERMATA",013
"BANK BTN",200
"BANK MAYBANK INDONESIA",016
"BANK MEGA",426
"BANK SINARMAS",153
"BANK COMMONWEALTH",950
"BANK OCBC NISP",028
"BANK BUKOPIN",441
"BANK KB BUKOPIN SYARIAH",521
"BANK BCA SYARIAH",536
"CITIBANK",031
"BANK DBS INDONESIA",046
"DIGIBANK",046
"SEABANK",535
"BANK JAGO",542
"BANK UOB INDONESIA",023
"TMRW",023
"BANK NEO COMMERCE",490
"ALLO BANK",567
"BANK ALADIN SYARIAH",947
"SUPERBANK",562
"HIBANK",553
"KROM BANK",459
"BANK JABAR BANTEN (BJB)",110
"BANK DKI",111
"BPD DIY",112
"BANK JATENG",113
"BANK JATIM",114
"BPD JAMBI",115
"BPD ACEH",116
"BPD ACEH SYARIAH",116
"BANK SUMUT",117
"BANK NAGARI",118
"BANK RIAU KEPRI",119
"BANK SUMSEL BABEL",120
"BANK LAMPUNG",121
"BANK KALSEL",122
"BANK KALBAR",123
"BANK KALTIMTARA",124
"BANK KALTENG",125
"BANK SULSELBAR",126
"BANK SULUTGO",127
"BANK NTB SYARIAH",128
"BANK BPD BALI",129
"BANK NTT",130
"BANK MALUKU MALUT",131
"BANK PAPUA",132
"BANK BENGKULU",133
"BANK SULTENG",134
"BANK SULTRA",135
"BANK BANTEN",137
"BANK PANIN",019
"BANK PANIN DUBAI SYARIAH",517
"BANK ARTHA GRAHA",037
"BANK MASPION",157
"BANK GANESHA",161
"BANK ICBC INDONESIA",164
"BANK QNB INDONESIA",167
"BANK WOORI SAUDARA",068
"BANK MEGA SYARIAH",506
"BANK SAHABAT SAMPOERNA",523
"OKE BANK",526
"BANK MNC INTERNASIONAL",485
"BANK JTRUST INDONESIA",095
"BANK MAYAPADA",097
"BANK MESTIKA",151
"BANK SHINHAN INDONESIA",152
"BANK INDEX SELINDO",555
"BANK VICTORIA",566
"BANK INA PERDANA",513
"BANK OF CHINA",069
"STANDARD CHARTERED BANK",050
"BANK HSBC INDONESIA",041
"BANK RESONA PERDANIA",047
"BANK MIZUHO INDONESIA",048
"BANK CAPITAL INDONESIA",054
"BANK BNP PARIBAS",057
"BANK ANZ INDONESIA",061
"BANK BUMI ARTA",076
"BANK ANTARDAERAH",088
"BANK JASA JAKARTA",472
"BANK ROYAL INDONESIA",501
"BANK NATIONAL NOBU",503
"BANK MULTI ARTA SENTOSA",548
"BANK VICTORIA SYARIAH",405
"PRIMA MASTER BANK",520
"BANK YUDHA BHAKTI",490
"BANK MITRANIAGA",491
"BANK AGRO",494
"BANK SBI INDONESIA",498
"BANK INDEX",555
"CENTRATAMA NASIONAL BANK",559
"BANK FAMA",562
"BANK SINAR HARAPAN BALI",564
"BANK HARD",567
"BANK BJB SYARIAH",425